Date,Open,High,Low,Close,Adj Close,Volume
2012-01-17,60.599998,60.855713,60.422855,60.671429,53.770409,60724300
2012-01-18,60.994286,61.352856,60.900002,61.301430,54.328735,69197800
2012-01-19,61.450001,61.624287,60.930000,61.107143,54.156563,65434600
2012-01-20,61.070000,61.071430,59.964287,60.042858,53.213322,103493600
2012-01-23,60.381428,61.207142,60.328571,61.058571,54.113510,76515600
2012-01-24,60.728573,60.728573,59.935715,60.058571,53.227264,136909500
2012-01-25,64.919998,64.921425,63.389999,63.808571,56.550720,239578500
2012-01-26,64.051430,64.112854,63.305714,63.518570,56.293701,80996300
2012-01-27,63.477142,64.068573,63.395714,63.897144,56.629215,74927300
2012-01-30,63.672855,64.842857,63.627144,64.715714,57.354675,94835300
2012-01-31,65.084282,65.462860,64.724289,65.211426,57.794006,97920900
2012-02-01,65.487144,65.570000,65.078575,65.169998,57.757282,67511500
2012-02-02,65.128571,65.309998,64.854286,65.017143,57.621826,46699100
2012-02-03,65.328575,65.714287,65.080002,65.668571,58.199146,71649900
2012-02-06,65.482857,66.425713,65.457146,66.281425,58.742306,62353200
2012-02-07,66.464287,67.107140,66.368568,66.975716,59.357609,79055900
2012-02-08,67.214287,68.112854,67.099998,68.097145,60.351490,101972500
2012-02-09,68.680000,70.964287,68.651428,70.452858,62.439243,221053700
2012-02-10,70.137146,71.088570,69.792854,70.488571,62.470917,157825500
2012-02-13,71.361427,71.975716,71.012856,71.800003,63.633171,129304000
2012-02-14,72.094284,72.794289,71.714287,72.779999,64.501701,115099600
2012-02-15,73.465714,75.184288,70.984283,71.095711,63.008984,376530000
2012-02-16,70.214287,72.127144,69.518570,71.744286,63.583786,236138000
2012-02-17,71.872856,72.538574,71.471428,71.731430,63.572411,133951300
2012-02-21,72.411430,73.550003,72.017143,73.550003,65.184120,151398800
2012-02-22,73.297142,73.641426,72.724289,73.291428,64.954933,120825600
2012-02-23,73.582855,73.975716,72.785713,73.769997,65.379066,142006900
2012-02-24,74.238571,74.699997,74.091431,74.629997,66.141258,103768000
2012-02-27,74.472855,75.500000,73.754288,75.108574,66.565414,136895500
2012-02-28,75.422859,76.487144,75.121429,76.487144,67.787170,150096800
2012-02-29,77.365715,78.230003,76.528572,77.491432,68.677238,238002800
2012-03-01,78.309998,78.315712,76.967140,77.781425,68.934250,170817500
2012-03-02,77.748573,78.114288,77.502853,77.882858,69.024132,107928100
2012-03-05,77.917145,78.211426,75.142860,76.165718,67.502319,202281100
2012-03-06,74.808571,76.241432,73.745712,75.751427,67.135132,202559700
2012-03-07,76.685715,76.825714,74.757141,75.812859,67.189575,199630200
2012-03-08,76.384285,77.570000,76.017143,77.427139,68.620270,129114300
2012-03-09,77.744286,78.248573,77.587143,77.881432,69.022873,104729800
2012-03-12,78.425713,78.857140,78.142860,78.857140,69.887596,101820600
2012-03-13,79.648575,81.168571,79.392860,81.157143,71.925972,172713800
2012-03-14,82.578575,84.959999,82.199997,84.225716,74.645538,354711000
2012-03-15,85.658569,85.715714,82.650002,83.651428,74.136559,289929500
2012-03-16,83.531425,84.171425,82.571426,83.652855,74.137825,206371900
2012-03-19,85.481430,85.967140,84.150002,85.871429,76.104042,225309000
2012-03-20,85.644287,86.699997,84.497147,86.565712,76.719353,204165500
2012-03-21,86.105713,87.092857,85.915718,86.071426,76.281296,161010500
2012-03-22,85.397141,86.357140,85.075714,85.620003,75.881203,155967700
2012-03-23,85.784286,85.971428,84.914284,85.150002,75.464684,107622200
2012-03-26,85.684288,86.735718,85.037140,86.711426,76.848495,148935500
